feature,importance
SBP_T1,0.48813916636652027
SBP_T2,0.2360634723045628
Delta1_SBP,0.05337193591068935
DBP_T1,0.04650967758495295
GFR_T1,0.042760023483146906
BMI_T2,0.023971975431769176
Delta1_BMI,0.01910643772423937
Delta1_GFR,0.01876439978080514
Delta1_TC,0.00964495154775772
FBG_T1,0.009374607997671815
GFR_T2,0.00899615805697471
Cr_T1,0.00826617342885494
UA_T2,0.007781941947240909
FBG_T2,0.007749878815515553
TC_T2,0.00729683770889244
Delta1_UA,0.007102077734695072
Delta1_FBG,0.002837335360650042
Delta1_Cr,0.002262948815060658
Cr_T2,2.7165810555961127e-18
sex,0.0
DBP_T2,0.0
Age,0.0
BMI_T1,0.0
UA_T1,0.0
TC_T1,0.0
Delta1_DBP,0.0
